created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2018-06-19 20:04:16.342217+00:00,2020-04-29 05:07:05.191229+00:00,{},ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,House,ocd-organization/52332da7-9146-412e-bf64-a291e2757b63,ocd-jurisdiction/country:us/state:il/government,lower,[],[],[]
2018-06-19 20:04:16.333559+00:00,2020-04-29 05:07:05.486006+00:00,{},ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Senate,ocd-organization/52332da7-9146-412e-bf64-a291e2757b63,ocd-jurisdiction/country:us/state:il/government,upper,[],[],[]
2023-02-15 00:38:09.698625+00:00,2024-10-08 20:04:07.238295+00:00,{},ocd-organization/0c8fa931-94b6-4f3b-85b1-1e8ab5a7e583,Assignments,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2917', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2917', 'note': 'homepage'}]","[{'name': 'Senate Assignments', 'end_date': '', 'start_date': ''}, {'name': 'Senate Assignments Committee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Committee on Assignments', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:06.912306+00:00,2024-10-08 20:04:06.737875+00:00,{},ocd-organization/a5f467b2-c655-432d-9578-8e72aa17e039,Early Childhood Education,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2960', 'note': ''}]","[{'url': 'https://www.ilga.gov/senate/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2960', 'note': 'homepage'}]","[{'name': 'Senate Committee on Early Childhood Education', 'end_date': '', 'start_date': ''}, {'name': 'Senate Early Childhood Education', 'end_date': '', 'start_date': ''}, {'name': 'Senate Early Childhood Education Committee', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:29:54.560742+00:00,2024-10-08 20:04:07.070746+00:00,{},ocd-organization/a35d6e16-301f-4bcc-be10-b5ce96ca84ac,Pensions Special,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/senate/committees/members.asp?CommitteeID=2965', 'note': 'homepage'}]","[{'name': 'Senate Committee on Pensions Special', 'end_date': '', 'start_date': ''}, {'name': 'Senate Pensions Special', 'end_date': '', 'start_date': ''}, {'name': 'Senate Pensions Special Committee', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:29:57.283578+00:00,2024-10-08 20:04:05.690413+00:00,{},ocd-organization/be235a1c-52ba-4aa3-a3f4-8f300562604d,Prescription Drug Affordability and Accessibility,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2939&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Prescription Drug Affordability and Accessibility', 'end_date': '', 'start_date': ''}, {'name': 'House Prescription Drug Affordability and Accessibility', 'end_date': '', 'start_date': ''}, {'name': 'House Prescription Drug Affordability and Accessibility Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:22.582394+00:00,2024-10-08 20:04:05.394251+00:00,{},ocd-organization/e0b7aed6-32a8-425e-8423-cbcf87db6b10,Insurance,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2938&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2938&GA=103', 'note': ''}]","[{'name': 'House Committee on Insurance', 'end_date': '', 'start_date': ''}, {'name': 'House Insurance', 'end_date': '', 'start_date': ''}, {'name': 'House Insurance Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:20.363881+00:00,2024-10-08 20:04:05.794078+00:00,{},ocd-organization/0b41bb6d-fd28-40e8-b64a-3145f97f0658,Counties & Townships,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2923&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2923&GA=103', 'note': ''}]","[{'name': 'House Committee on Counties and Townships', 'end_date': '', 'start_date': ''}, {'name': 'House Counties and Townships', 'end_date': '', 'start_date': ''}, {'name': 'House Counties and Townships Committee', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:30:00.627831+00:00,2024-10-08 20:04:05.938346+00:00,{},ocd-organization/75910db5-c4af-4008-8d73-abcea13daa8c,"Small Business,Tech Innovation and Entrepreneurship",ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2958&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Small Business,Tech Innovation and Entrepreneurship', 'end_date': '', 'start_date': ''}, {'name': 'House Small Business,Tech Innovation and Entrepreneurship', 'end_date': '', 'start_date': ''}, {'name': 'House Small Business,Tech Innovation and Entrepreneurship Committee', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:30:01.399839+00:00,2024-10-08 20:04:05.426976+00:00,{},ocd-organization/4946b66b-746d-47ef-92d0-bd6e093b532f,Child Care Accessibility and Early Childhood Education,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2937&GA=103', 'note': 'homepage'}]","[{'name': 'House Child Care Accessibility and Early Childhood Education', 'end_date': '', 'start_date': ''}, {'name': 'House Child Care Accessibility and Early Childhood Education Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Child Care Accessibility and Early Childhood Education', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:30:02.989761+00:00,2024-10-08 20:04:05.453841+00:00,{},ocd-organization/a7e34f5d-83ad-4e1c-9519-03763720d005,Appropriations: Higher Education,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2882&GA=103', 'note': 'homepage'}]","[{'name': 'House Appropriations: Higher Education', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Higher Education Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Appropriations: Higher Education', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:17.582684+00:00,2024-10-08 20:04:06.271420+00:00,{},ocd-organization/09cf7158-0711-41d2-8947-9769f9ae5580,Mental Health & Addiction,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2935&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2935&GA=103', 'note': ''}]","[{'name': 'House Committee on Mental Health and Addiction', 'end_date': '', 'start_date': ''}, {'name': 'House Mental Health and Addiction', 'end_date': '', 'start_date': ''}, {'name': 'House Mental Health and Addiction Committee', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:30:05.519785+00:00,2024-10-08 20:04:07.363837+00:00,{},ocd-organization/1e457b2c-af7c-43d3-a105-89fcc53b2065,Legislative Budget Oversight Commission,ocd-organization/52332da7-9146-412e-bf64-a291e2757b63,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/senate/committees/TFJCmembers.asp?ID=15&IDName=Legislative%20Budget%20Oversight%20Commission&TFJCType=J&GA=103', 'note': 'homepage'}]","[{'name': 'Joint Committee on Legislative Budget Oversight Commission', 'end_date': '', 'start_date': ''}, {'name': 'Joint Legislative Budget Oversight Commission', 'end_date': '', 'start_date': ''}, {'name': 'Joint Legislative Budget Oversight Commission Committee', 'end_date': '', 'start_date': ''}]"
